ts,symbol,open,high,low,close,quantity
2018-07-08 03:00:00, OKEX--BTC--USDT, 6552.1451, 6555.1826, 6540.0001, 6540.0001, 589.86659608
2018-07-08 04:00:00, OKEX--BTC--USDT, 6540.0002, 6545.128, 6516.5328, 6526.5321, 477.48343551
2018-07-08 05:00:00, OKEX--BTC--USDT, 6529.9742, 6544.9474, 6525.8283, 6534.1366, 540.95380714
2018-07-08 06:00:00, OKEX--BTC--USDT, 6533.3462, 6573.9057, 6523.8708, 6573.9057, 477.28386998
2018-07-08 07:00:00, OKEX--BTC--USDT, 6576.5917, 6800.0055, 6574.5938, 6757.8053, 704.16784804
2018-07-08 08:00:00, OKEX--BTC--USDT, 6764.5221, 6777.9999, 6730.4087, 6744.1404, 658.22383096
2018-07-08 09:00:00, OKEX--BTC--USDT, 6742.486, 6757.8054, 6734.7473, 6739.6859, 591.24011726
2018-07-08 10:00:00, OKEX--BTC--USDT, 6739.686, 6747.5637, 6722.962, 6744.5048, 803.99100339
2018-07-08 11:00:00, OKEX--BTC--USDT, 6743.9993, 6749.3224, 6717.8887, 6717.8887, 619.24957933
2018-07-08 12:00:00, OKEX--BTC--USDT, 6718.1036, 6727.1818, 6708.4114, 6713.3879, 503.78462526
2018-07-08 13:00:00, OKEX--BTC--USDT, 6715.6493, 6735.6943, 6713.3001, 6728.6655, 471.83353753
2018-07-08 14:00:00, OKEX--BTC--USDT, 6731.7058, 6735.9999, 6723.7701, 6726.1825, 537.94737221
2018-07-08 15:00:00, OKEX--BTC--USDT, 6727.9, 6739.9999, 6725.0004, 6737.0, 585.63075556
2018-07-08 16:00:00, OKEX--BTC--USDT, 6735.9708, 6742.3628, 6725.9581, 6732.5933, 797.78804682
2018-07-08 17:00:00, OKEX--BTC--USDT, 6732.5932, 6742.0871, 6728.5839, 6736.5038, 520.12791939
2018-07-08 18:00:00, OKEX--BTC--USDT, 6739.0, 6740.3134, 6724.0, 6724.2094, 517.00595705
2018-07-08 19:00:00, OKEX--BTC--USDT, 6725.4707, 6739.802, 6720.7809, 6738.4539, 489.50747834
2018-07-08 20:00:00, OKEX--BTC--USDT, 6739.0, 6762.1918, 6714.4413, 6725.1367, 668.02486777
2018-07-08 21:00:00, OKEX--BTC--USDT, 6723.2046, 6746.3843, 6720.3216, 6733.5453, 552.94007498
2018-06-12 03:00:00, OKEX--ETH--USDT, 519.9519, 521.8109, 517.412, 518.698, 1650.040709
2018-06-12 04:00:00, OKEX--ETH--USDT, 518.705, 519.5782, 515.6379, 516.1816, 2594.815428
2018-06-12 05:00:00, OKEX--ETH--USDT, 516.1877, 519.8799, 515.9252, 519.3877, 2306.506328
2018-06-12 06:00:00, OKEX--ETH--USDT, 519.3506, 525.0, 518.8065, 525.0, 2224.423419
2018-06-12 07:00:00, OKEX--ETH--USDT, 526.0, 532.7274, 524.724, 531.4186, 1802.959175
2018-06-12 08:00:00, OKEX--ETH--USDT, 530.9345, 531.1243, 525.669, 526.9852, 1632.836418
2018-06-12 09:00:00, OKEX--ETH--USDT, 527.4293, 529.9985, 525.6, 529.7344, 1540.866134
2018-06-12 10:00:00, OKEX--ETH--USDT, 530.4676, 533.3083, 529.01, 531.3639, 1482.789268
2018-06-12 11:00:00, OKEX--ETH--USDT, 532.1766, 532.1775, 526.12, 526.4098, 1939.369974
2018-06-12 12:00:00, OKEX--ETH--USDT, 526.1677, 530.0711, 525.9115, 529.1174, 1764.961792
2018-06-12 13:00:00, OKEX--ETH--USDT, 529.3, 532.5437, 528.6798, 531.7536, 2606.914672
2018-06-12 14:00:00, OKEX--ETH--USDT, 531.6323, 533.2108, 531.095, 531.3274, 2371.157093
2018-06-12 15:00:00, OKEX--ETH--USDT, 531.3274, 531.7412, 527.5, 529.8399, 2948.24147
2018-06-12 16:00:00, OKEX--ETH--USDT, 530.1092, 538.8603, 528.0, 536.8536, 2094.471
2018-06-12 17:00:00, OKEX--ETH--USDT, 536.1748, 536.6, 534.723, 535.5775, 2146.26333
2018-06-12 18:00:00, OKEX--ETH--USDT, 535.8361, 535.9204, 531.5897, 532.584, 1685.606243
2018-06-12 19:00:00, OKEX--ETH--USDT, 532.0095, 533.2579, 528.9702, 531.8106, 1518.561127
2018-06-12 20:00:00, OKEX--ETH--USDT, 532.21, 532.4006, 521.6097, 521.8074, 2040.98412
2018-06-12 21:00:00, OKEX--ETH--USDT, 521.6461, 523.8949, 520.0648, 522.2232, 1507.979859
2018-06-18 03:00:00, OKEX--ETH--USDT, 502.0343, 502.8559, 500.2997, 501.6306, 2682.210796
2018-06-18 04:00:00, OKEX--ETH--USDT, 500.4927, 501.2282, 497.6939, 499.4889, 2788.542109
2018-06-18 05:00:00, OKEX--ETH--USDT, 499.1044, 500.4185, 498.8461, 499.7046, 2369.835417
2018-06-18 06:00:00, OKEX--ETH--USDT, 499.6483, 500.4269, 498.9585, 499.06, 2182.610341
2018-06-18 07:00:00, OKEX--ETH--USDT, 499.0112, 499.3665, 495.1887, 497.3411, 2117.276403
2018-06-18 08:00:00, OKEX--ETH--USDT, 497.5525, 497.677, 488.4665, 488.4665, 2900.954124
2018-06-18 09:00:00, OKEX--ETH--USDT, 488.1064, 492.9742, 488.0, 491.8771, 2105.616977
2018-06-18 10:00:00, OKEX--ETH--USDT, 491.9821, 496.391, 491.0, 495.4752, 1919.139251
2018-06-18 11:00:00, OKEX--ETH--USDT, 495.4749, 495.709, 493.731, 494.1173, 2380.956888
2018-06-18 12:00:00, OKEX--ETH--USDT, 494.2272, 495.21, 492.3915, 493.2069, 1600.658521
2018-06-18 13:00:00, OKEX--ETH--USDT, 493.3092, 494.7611, 492.1338, 493.9241, 2228.635359
2018-06-18 14:00:00, OKEX--ETH--USDT, 493.7376, 495.5389, 493.4015, 494.5498, 2582.841714
2018-06-18 15:00:00, OKEX--ETH--USDT, 494.5498, 495.1448, 493.5288, 494.683, 2314.324759
2018-06-18 16:00:00, OKEX--ETH--USDT, 494.3882, 498.0978, 494.1486, 497.6463, 2545.391988
2018-06-18 17:00:00, OKEX--ETH--USDT, 497.2, 498.36, 495.6622, 496.68, 1684.738746
