datetime,open,high,low,close,volume
2017-09-04 20:30:00,522.55,530.0,517.13,526.5,215.75004571
2017-09-04 21:00:00,525.27,535.0,520.21,535.0,219.83141582
2017-09-04 21:30:00,534.39,538.09,528.29,536.3,616.44373742
2017-09-04 22:00:00,536.2,537.4,528.4,530.0,246.26160261
2017-09-04 22:30:00,530.0,534.75,526.29,526.3,175.21332644
2017-09-04 23:00:00,527.86,528.31,521.42,523.52,451.1492469
2017-09-04 23:30:00,522.77,525.4,515.0,518.98,577.23370907
2017-09-05 00:00:00,518.94,519.79,503.8,509.23,376.09319721
2017-09-05 00:30:00,507.2,513.0,504.43,509.8,403.77431495
2017-09-05 01:00:00,505.51,508.7,490.51,490.74,1395.87302203
2017-09-05 01:30:00,490.75,491.29,475.0,475.0,3171.32871033
2017-09-05 02:00:00,475.0,482.0,470.1,473.68,1177.72885808
2017-09-05 02:30:00,473.95,489.6,470.93,489.29,960.14667709
2017-09-05 03:00:00,489.57,496.25,474.13,496.25,2462.15921707
2017-09-05 03:30:00,495.0,500.0,481.22,483.58,775.67919819
2017-09-05 04:00:00,483.6,492.49,477.08,483.41,440.37233405
2017-09-05 04:30:00,485.0,490.0,483.02,487.65,222.70547934
2017-09-05 05:00:00,487.24,487.75,473.0,475.12,795.84438044
2017-09-05 05:30:00,477.8,479.6,470.11,470.22,338.26199637
2017-09-05 06:00:00,470.14,500.01,470.14,482.12,2887.27876509
2017-09-05 06:30:00,481.0,515.04,480.63,503.69,3410.76949306
2017-09-05 07:00:00,504.51,520.0,503.81,511.23,1109.67607166
2017-09-05 07:30:00,511.24,529.4,508.1,526.0,1106.0553065
2017-09-05 08:00:00,523.81,531.79,517.58,524.66,986.75338524
2017-09-05 08:30:00,525.0,525.87,509.8,512.49,633.71639072
2017-09-05 09:00:00,513.4,513.59,501.01,508.06,287.65774135
2017-09-05 09:30:00,506.51,516.4,506.51,515.0,289.19488572
2017-09-05 10:00:00,516.3,521.95,514.7,517.8,153.99865755
2017-09-05 10:30:00,516.39,516.98,511.3,513.7,214.12580852
2017-09-05 11:00:00,514.4,516.91,509.75,516.91,147.83320138
2017-09-05 11:30:00,516.0,529.5,516.0,529.5,345.29301651
2017-09-05 12:00:00,529.8,539.78,529.5,537.0,1001.61034855
2017-09-05 12:30:00,537.3,540.0,528.33,528.63,545.09551814
2017-09-05 13:00:00,530.5,534.33,525.63,532.61,117.58496876
2017-09-05 13:30:00,534.31,540.6,533.7,539.55,493.36941426
2017-09-05 14:00:00,540.0,541.91,531.1,533.94,513.40051359
2017-09-05 14:30:00,535.0,538.33,532.92,534.14,470.67910332
2017-09-05 15:00:00,534.49,535.0,527.01,528.0,895.21014946
2017-09-05 15:30:00,527.79,527.79,520.01,524.28,495.63024958
2017-09-05 16:00:00,525.39,529.69,517.44,528.49,503.90079689
2017-09-05 16:30:00,528.53,534.19,526.41,534.19,179.82898445
2017-09-05 17:00:00,534.18,545.0,530.51,545.0,478.61881632
2017-09-05 17:30:00,544.0,547.93,540.22,542.5,1232.15387386
2017-09-05 18:00:00,542.5,548.08,542.0,548.08,367.72377026
2017-09-05 18:30:00,548.37,554.49,547.01,549.05,1232.08642091
2017-09-05 19:00:00,549.82,557.99,549.82,556.39,991.99341976
2017-09-05 19:30:00,556.09,559.98,554.45,554.71,538.47868983
2017-09-05 20:00:00,556.69,557.0,548.19,548.24,625.25471495
2017-09-05 20:30:00,548.44,553.4,541.36,553.4,678.80182736
2017-09-05 21:00:00,553.4,553.4,550.4,552.07,242.68250979
2017-09-05 21:30:00,551.2,551.2,539.89,543.8,1392.94945932
2017-09-05 22:00:00,543.79,550.0,542.6,547.9,810.37088457
2017-09-05 22:30:00,550.0,552.1,549.91,552.1,230.87119042
2017-09-05 23:00:00,551.81,557.86,551.8,557.74,132.06033804
2017-09-05 23:30:00,555.4,556.52,542.1,545.0,329.50150375
2017-09-06 00:00:00,543.64,551.29,542.0,545.25,355.94465255
2017-09-06 00:30:00,545.21,553.12,544.97,551.92,95.91833851
2017-09-06 01:00:00,552.07,557.85,549.8,554.73,661.03071756
2017-09-06 01:30:00,553.97,560.8,552.71,559.7,199.67530183
2017-09-06 02:00:00,558.69,564.0,556.55,556.92,243.28116141
2017-09-06 02:30:00,559.59,560.88,557.39,557.4,57.11340608
2017-09-06 03:00:00,556.72,562.0,554.86,555.0,1362.13349613
2017-09-06 03:30:00,557.34,558.42,549.5,554.59,919.55598766
2017-09-06 04:00:00,554.58,555.0,551.41,553.6,289.04966328
2017-09-06 04:30:00,554.0,554.0,532.08,540.21,2415.60670669
2017-09-06 05:00:00,540.71,546.7,538.01,541.9,238.44871249
2017-09-06 05:30:00,542.0,550.11,541.3,550.0,134.53313488
2017-09-06 06:00:00,550.0,550.0,543.93,546.15,288.79103234
2017-09-06 06:30:00,547.9,549.74,543.98,547.97,123.09989944
2017-09-06 07:00:00,549.72,552.55,546.09,552.55,197.09786768
2017-09-06 07:30:00,552.6,558.0,552.6,555.11,226.79542969
2017-09-06 08:00:00,556.09,556.6,546.0,551.34,1151.12987914
2017-09-06 08:30:00,551.34,560.8,551.34,560.8,414.2660271
